% function evaluation | noise-free fitness - Fopt (-1.025500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
29 +1.779041286e+00 +1.779041286e+00 -5.702095367e+01 -5.702095367e+01 -2.6369e+00 +5.0428e+00 +1.6781e+00 -2.2047e+00 -5.9068e-01 -3.6215e+00 +8.0251e-01 -4.3729e-02 +6.7258e-02 +2.9668e+00
117 +1.324083803e+00 +1.324083803e+00 +1.247651736e+04 -5.723431629e+01 -6.4136e-01 +3.9149e-01 -1.1728e+00 +6.6348e-01 -2.8094e-01 -3.6538e+00 -1.9917e+00 +9.4785e-01 -8.7105e-01 +1.3989e+00
20317 +9.914026213e-01 +9.914026213e-01 -5.811215443e+01 -5.836936149e+01 -5.9899e-02 +2.3908e+00 +1.5645e+00 +3.3686e+00 -1.5575e+00 -1.7967e+00 +4.6004e+00 +7.1932e-01 +1.2604e+00 -6.9998e-01
81526 +5.420906825e-01 +5.420906825e-01 +7.376608060e+03 -5.847999156e+01 -2.1585e-01 +2.3663e+00 -1.7191e-02 +2.5107e+00 -1.6548e+00 -9.1523e-01 -1.7286e+00 -2.3578e+00 -6.8142e-01 +7.3207e-01
% function evaluation | noise-free fitness - Fopt (-6.130800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.037308958e+03 +6.037308958e+03 +2.781723548e+04 +2.781723548e+04 -1.2913e+00 +3.2260e+00 -1.5028e+00 +2.9621e+00 -1.2499e+01 +7.5394e-01 -6.0778e+00 -6.2369e+00 -5.1984e+00 -1.1270e+00
2 +1.576586847e+03 +1.576586847e+03 +1.089417182e+03 +1.089417182e+03 -2.1076e+00 -3.8210e+00 +1.0367e+00 +3.5924e+00 -5.0405e+00 +2.3098e-01 -8.7575e+00 -1.8163e+00 +6.2374e+00 -1.5295e-01
6 +1.602502676e+02 +1.602502676e+02 +1.756435206e+03 +1.089417182e+03 +1.0519e+00 +2.3946e+00 -1.3770e+00 -6.0091e+00 +1.4321e+00 +4.6049e+00 +4.1021e+00 +3.2677e+00 -5.7030e+00 -2.5970e+00
18 +1.057590312e+02 +1.057590312e+02 +6.372452359e+04 +4.494196932e+02 +4.9514e-03 +3.3173e-01 -1.3496e+00 -2.3802e+00 -4.6379e+00 -5.1249e+00 -2.9674e+00 +5.9820e+00 -6.3042e-01 +2.0682e+00
27 +3.854636819e+00 +3.854636819e+00 -4.120697123e+02 -4.120697123e+02 +3.4938e+00 -4.3003e+00 +1.7654e+00 -2.1347e+00 -5.4054e-01 -1.0969e+00 +1.6312e-01 +3.4314e+00 -2.5132e+00 -4.1987e+00
